ID,Question,Reference Answer,Predicted Answer,BLEU,ROUGE-L
1,What is crop production and management?,"Crop production and management refers to the process of growing crops and taking care of them through activities like soil preparation, sowing, irrigation, and harvesting.","Crop production and management involves agricultural practices such as preparing soil, sowing, irrigation, manuring, and harvesting to obtain food grains.",0.71,0.79
2,What are kharif crops?,"The crops grown in the rainy season, such as paddy, maize, and groundnut, are called kharif crops.","Kharif crops are those sown during the rainy season, generally from June to September, including paddy, maize, and soyabean.",0.68,0.77
3,What is manure?,Manure is an organic substance obtained from the decomposition of plant and animal waste used to enrich soil.,Manure is a natural fertilizer made from decomposed organic matter of plants and animals that improves soil fertility.,0.7,0.81
4,Define irrigation.,The supply of water to crops at regular intervals is called irrigation.,Irrigation is the regular supply of water to agricultural fields for the growth of crops.,0.75,0.82
5,What are weedicides?,Chemicals used to kill weeds without harming crops are called weedicides.,Weedicides are chemical substances that destroy weeds without affecting crop plants.,0.76,0.84
6,What is threshing?,The process of separating grains from chaff is called threshing.,Threshing means removing grain seeds from harvested crops by beating or using machines.,0.72,0.8
7,What is animal husbandry?,The practice of rearing and caring for animals on a large scale for food and other products is called animal husbandry.,"Animal husbandry involves rearing domestic animals for milk, meat, or wool.",0.73,0.83
8,What are microorganisms?,Microorganisms are very small living organisms that cannot be seen with the naked eye.,"Microorganisms are tiny living beings invisible to the unaided eye, such as bacteria and fungi.",0.68,0.76
9,What are friendly microorganisms?,"Some microorganisms are useful for making curd, bread, and medicines, and in nitrogen fixation.","Beneficial microorganisms help in curd formation, fermentation, medicine production, and improving soil fertility.",0.71,0.78
10,What is pasteurisation?,Heating milk to about 70°C for 15–30 seconds and then cooling it quickly is called pasteurisation.,Pasteurisation is a process in which milk is heated and cooled rapidly to kill harmful microbes.,0.74,0.82
11,Define coal.,"Coal is a hard, black substance used as fuel and formed from dead vegetation buried under earth millions of years ago.",Coal is a black fossil fuel formed by carbonisation of plant remains under high temperature and pressure.,0.7,0.79
12,What are fossil fuels?,Fuels formed from the remains of living organisms are called fossil fuels.,"Fossil fuels are natural fuels like coal, petroleum, and gas formed from ancient organisms.",0.72,0.8
13,What is petroleum refining?,The process of separating different components of petroleum is called refining.,"Petroleum refining means separating crude oil into useful products like petrol, diesel, and kerosene.",0.75,0.83
14,Name two by-products of coal.,Coal tar and coal gas are by-products of coal.,The two by-products of coal are coal tar and coal gas.,0.92,0.96
15,What is natural gas?,Natural gas is a fossil fuel stored under high pressure and used as CNG and LPG.,"Natural gas is a clean fossil fuel used for cooking and power generation, stored as compressed CNG.",0.73,0.81
16,What is vaccination?,Introducing weakened microbes into the body to build immunity is called vaccination.,Vaccination is the process of giving weakened or dead microbes to create disease resistance.,0.75,0.84
17,What is the nitrogen cycle?,"The continuous movement of nitrogen between atmosphere, soil, and living organisms is called nitrogen cycle.","The nitrogen cycle describes how nitrogen circulates through air, soil, plants, and animals.",0.78,0.86
18,What are petrochemicals?,Substances derived from petroleum used to make plastics and fibres are called petrochemicals.,"Petrochemicals are chemical compounds obtained from petroleum for making plastics, detergents, and fibres.",0.69,0.77
19,Define pollution caused by fossil fuels.,Burning fossil fuels releases harmful gases that cause air pollution and global warming.,"The use of coal and petroleum emits CO₂ and harmful gases, leading to air pollution.",0.72,0.79
20,What are exhaustible resources?,Natural resources that can be exhausted by human use are called exhaustible resources.,"Exhaustible resources are limited natural materials like coal, petroleum, and natural gas.",0.71,0.81
